Type,Name,Latitude,Longitude
Foreign,Sanctuary of Isis and Serapis (Piraeus),37.9425,23.6465
Foreign,Metroon (Sanctuary of Cybele  Athens Agora),37.9746,23.7215
Foreign,Temple of the Egyptian Gods (Marathon),38.1505,23.9632
Foreign,Sanctuary of Egyptian Gods (Corinth),37.905,22.8785
Foreign,Sanctuary of Isis (Eretria),38.3982,23.7905
Foreign,Mithraeum of Chalcis,38.457139,23.621937
Foreign,Temple of Isis (Thessaloniki),40.4754,22.8341
Foreign,Mithraeum of Thessaloniki,40.6403,22.9444
Foreign,Mithraeum of Dion,40.1749,22.4887
Foreign,Serapeum Complex of Delos,37.4026,25.2677
Foreign,Temple of Isis (Delos),37.39906,25.26648
Foreign,Sanctuary of the Syrian Gods (Delos),37.398155,25.269526
Foreign,Sanctuary of Isis (Rhodes),36.439992,28.21066
Foreign,Sanctuary of the Syrian Gods (Kos),36.87572129,27.25718605
Foreign,Cybele Sanctuary Lesbos (Mytilene area),39.1114,26.5621
