Type,Name,Latitude,Longitude
Local,Parthenon,37.9716373,23.7239144
Local,Erechtheion (Temple of Athena Polias complex),37.9721057,23.7264465
Local,Temple of Athena Nike,37.9715293,23.7248881
Local,Temple of Olympian Zeus (Athens),37.969372,23.733078
Local,Temple of Hephaistos,37.975604,23.7214117
Local,Sanctuary of Dionysus Eleuthereus (Athens),37.97034,23.727784
Local,Eleusinion (Athens),37.9733112,23.7249216
Local,Altar of Zeus Agoraios (Athens Agora),37.9732508,23.7208462
Local,Sanctuary of Artemis Mounichia,37.9356,23.6592
Local,Sanctuary of Asclepius (Piraeus),37.9369821,23.653114
Local,Sanctuary of Artemis at Brauron,37.9261548,23.9937127
Local,Sanctuary of Zeus Soter (Megalopolis),37.41288,22.12726
Local,Temple of Apollo (Corinth),37.9060335,22.8791944
Local,Sanctuary of Demeter and Kore (Acrocorinth),37.89883,22.87635
Local,Sanctuary of Aphrodite (Acrocorinth),37.89174,22.87548
Local,Sanctuary of Poseidon (Isthmia near Corinth),37.9159,22.9932
Local,Sanctuary of Asklepios (Epidaurus),37.5983023,23.0742642
Local,Temple of Athena Alea (Tegea),37.4553906,22.4205344
Local,Temple of Zeus (Olympia),37.637807,21.630049
Local,Temple of Hera (Olympia Heraion),37.6388691,21.6297937
Local,Altis Sacred Precinct (Olympia),37.6378,21.63
Local,Sanctuary of Apollo (Delphi),38.4823167,22.5012215
Local,Sanctuary of Athena Pronaia (Delphi complex),38.4801267,22.5083745
Local,Tholos at the Sanctuary of Athena Pronaia,38.480152,22.5078688
Local,Sanctuary of the Great Gods (Samothrace),40.5008136,25.5301734
Local,Kabeirion of Lemnos,39.9169,25.2383
Local,Sanctuary of Hephaistos (Lemnos),39.9085,25.3099
Local,Temple of Apollo Napaios (Lesbos),39.2526,26.2431
Local,Sanctuary of Apollo Phanaios (Chios),38.2070923,25.9305917
Local,Sanctuary of Dionysus (Ikaria),37.6220436,26.0597222
Local,Letoion (Delos),37.402376,25.266997
Local,Temple of Hera (Delos),37.395,25.272
Local,Temple of the Athenians on Delos,37.4004,25.2666
Local,Temple of Apollo (Delos),37.3993075,25.268868
Local,Sanctuary of Apollo (Syros),37.445278,24.943611
Local,Sanctuary of Poseidon and Amphitrite (Tinos),37.5516881,25.1428852
Local,Sanctuary of Apollo (Paros),37.1035,25.1549
Local,Sanctuary of Apollo (Antiparos area),36.9706,25.0141
Local,Sanctuary of Dionysus (Naxos),37.0777,25.3807
Local,Sanctuary of Apollo (Amorgos),36.821,25.8611
Local,Sanctuary of Apollo (Anafi),36.361333,25.823783
Local,Temple of Aphaia (Aegina),37.7543763,23.5332476
Local,Heraion of Samos,37.6718,26.8857
Local,Asklepieion of Kos,36.8757,27.257
Local,Temple of Athena Lindia (Lindos),36.0910107,28.0884483
Local,Sanctuary of Apollo (Chalki),36.2279905,27.571979
Local,Temple of Apollo Delphinios (Dreros),35.2566,25.628
Local,Sanctuary of Zeus Diktaios (Dikteon Cave),35.196407,26.27598
Local,Sanctuary of Zeus at Mt. Ida (Idean Cave),35.2083,24.8296
Local,Temple of Poseidon (Sounion),37.6502117,24.0245899
Foreign,Sanctuary of Isis and Serapis (Piraeus),37.9425,23.6465
Foreign,Metroon (Sanctuary of Cybele  Athens Agora),37.9746,23.7215
Foreign,Temple of the Egyptian Gods (Marathon),38.1505,23.9632
Foreign,Sanctuary of Egyptian Gods (Corinth),37.905,22.8785
Foreign,Sanctuary of Isis (Eretria),38.3982,23.7905
Foreign,Mithraeum of Chalcis,38.457139,23.621937
Foreign,Temple of Isis (Thessaloniki),40.4754,22.8341
Foreign,Mithraeum of Thessaloniki,40.6403,22.9444
Foreign,Mithraeum of Dion,40.1749,22.4887
Foreign,Serapeum Complex of Delos,37.4026,25.2677
Foreign,Temple of Isis (Delos),37.39906,25.26648
Foreign,Sanctuary of the Syrian Gods (Delos),37.398155,25.269526
Foreign,Sanctuary of Isis (Rhodes),36.439992,28.21066
Foreign,Sanctuary of the Syrian Gods (Kos),36.87572129,27.25718605
Foreign,Cybele Sanctuary Lesbos (Mytilene area),39.1114,26.5621
