Port,latitude,longitude
Piraeus,37.9427,23.6469
Zea,37.9378,23.651
Munichia,37.9345,23.6612
Aegina,37.746,23.4275
Lechaion,37.942,22.905
Cenchreae,37.8153,23.0197
Corinth,37.9386,22.9322
Methone,36.819,21.704
Gytheion,36.7565,22.5642
Delos,37.4004,25.2713
Naxos,37.1067,25.3765
Paros,37.0852,25.1475
Antiparos,36.9972,25.0648
Syros,37.443,24.942
Tinos,37.5386,25.1634
Amorgos,36.8306,25.8619
Ikaria,37.6145,26.306
Ikaria,37.6402,26.1554
Chios,38.367,26.135
Lesbos,39.1089,26.5546
Samos,37.6909,26.9365
Kos,36.8932,27.2889
Rhodes,36.4504,28.2235
Chalki,36.2248,27.5679
Heraklion,35.3447,25.1376
Chania,35.5167,24.018
Matala,34.9942,24.7485
Thessaloniki,40.6401,22.9444
Amphipolis,40.84,23.851
